Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
BaseNet6 s112_occ_noV1stride_2--40000,0.18166000000000002,,0.639142192,0.533074326,,,0.1759026599352811,,,,,,0.0,0.33702979448382026,6.0,,,
BaseNet6 25_0--80000,0.24978,,0.641822098,0.54539611,,,0.15801732743483377,,,,,,0.0,0.33630888385870844,6.0,,,
BaseNet6 50_1_fullV1--20000,0.15436,,0.647266928,0.545533633,,,0.1508894080741394,,,,,,0.0,0.3359224922685348,6.0,,,
BaseNet6 s112_2_noV1stride--40000,0.20715999999999998,,0.643046164,0.531813684,,,0.16864180502535409,,,,,,0.0,0.3358754132563385,6.0,,,
BaseNet6 s112_0_noV1stride--60000,0.25478,,0.579886435,0.5427690629999999,,,0.2180281602799451,,,,,,0.0,0.33517091456998627,6.0,,,
BaseNet6 s112_occ_noV1stride_4--60000,0.24666,,0.641720069,0.547807018,,,0.1500999546014965,,,,,,0.0,0.33490676040037415,6.0,,,
BaseNet6 25_0--60000,0.2061,,0.647330626,0.541730326,,,0.14771476420122193,,,,,,0.0,0.33419392905030554,6.0,,,
BaseNet6 50_0--20000,0.16155999999999998,,0.645317327,0.541488364,,,0.1481147621822957,,,,,,0.0,0.3337301132955739,6.0,,,
BaseNet6 s112_occ_noV1stride_2--60000,0.21888000000000002,,0.641279975,0.552151492,,,0.13378303693872345,,,,,,0.0,0.33180362598468083,6.0,,,
BaseNet6 s112_0_noV1stride--40000,0.20678000000000002,,0.591041378,0.522547482,,,0.21167854035479663,,,,,,0.0,0.3313168500886992,6.0,,,
BaseNet6 50_s112_2--100000,0.33058,,0.585625015,0.536655569,,,0.2004911470081832,,,,,,0.0,0.33069293275204575,6.0,,,
BaseNet6 25_0--40000,0.17298,,0.64892393,0.525107345,,,0.14772252624759255,,,,,,0.0,0.3304384503118981,6.0,,,
BaseNet6 50_s112_2--80000,0.26516,,0.583193045,0.5372358279999999,,,0.1985007997826359,,,,,,0.0,0.3297324181956589,6.0,,,
BaseNet6 s56_1_noV1stride--80000,0.27896,,0.570088731,0.512588037,,,0.2345473203935451,,,,,,0.0,0.3293060220983863,6.0,,,
BaseNet6 s112_1_noV1stride--20000,0.16827999999999999,,0.625896283,0.538465796,,,0.14976352016570982,,,,,,0.0,0.3285313997914274,6.0,,,
BaseNet6 s112_0_noV1stride--20000,0.14024,,0.582968649,0.508181483,,,0.22291729985539793,,,,,,0.0,0.3285168579638495,6.0,,,
